name,group,year,value,subGroup
"  Mamedyarov, Shakhriyar",AZE,2014,2760,AZE
" Grischuk, Alexander",RUS,2012,2761,RUS
" Jakovenko, Dmitry",RUS,2015,2757,RUS
" Shirov, Alexei",ESP,2007,2735,ESP
" Adams, Michael", ENG,2006,2732, ENG
" Anand, Viswanathan", IND,2005,2788, IND
" Anand, Viswanathan", IND,2006,2779, IND
" Anand, Viswanathan", IND,2010,2790, IND
" Anand, Viswanathan", IND,2011,2799, IND
" Anand, Viswanathan", IND,2012,2791, IND
" Anand, Viswanathan", IND,2014,2785, IND
" Anand, Viswanathan", IND,2015,2816, IND
" Anand, Viswanathan", IND,2016,2784, IND
" Aronian, Levon", ARM,2005,2724, ARM
" Aronian, Levon", ARM,2006,2761, ARM
" Aronian, Levon", ARM,2007,2750, ARM
" Aronian, Levon", ARM,2010,2781, ARM
" Aronian, Levon", ARM,2011,2820, ARM
" Aronian, Levon", ARM,2012,2825, ARM
" Aronian, Levon", ARM,2014,2815, ARM
" Aronian, Levon", ARM,2015,2765, ARM
" Aronian, Levon", ARM,2016,2792, ARM
" Bacrot, Etienne", FRA,2005,2729, FRA
" Carlsen, Magnus",NOR,2015,2853,NOR
" Caruana, Fabiano", ITA,2011,2767, ITA
" Caruana, Fabiano", ITA,2012,2770, ITA
" Caruana, Fabiano", ITA,2014,2783, ITA
" Caruana, Fabiano", USA,2015,2797, USA
" Caruana, Fabiano", USA,2016,2787, USA
" Dominguez Perez, Leinier", CUB,2014,2768, CUB
" Gashimov, Vugar", AZE,2010,2759, AZE
" Gelfand, Boris", ISR,2005,2724, ISR
" Gelfand, Boris", ISR,2006,2729, ISR
" Gelfand, Boris", ISR,2010,2761, ISR
" Giri, Anish", NED,2015,2791, NED
" Giri, Anish", NED,2016,2798, NED
" Grischuk, Alexander", RUS,2014,2792, RUS
" Grischuk, Alexander", RUS,2015,2771, RUS
" Ivanchuk, Vassily", UKR,2005,2752, UKR
" Ivanchuk, Vassily", UKR,2006,2734, UKR
" Ivanchuk, Vassily", UKR,2007,2762, UKR
" Ivanchuk, Vassily", UKR,2010,2749, UKR
" Ivanchuk, Vassily", UKR,2011,2764, UKR
" Ivanchuk, Vassily", UKR,2012,2764, UKR
" Jakovenko, Dmitry", RUS,2007,2735, RUS
" Karjakin, Sergey", RUS,2011,2766, RUS
" Karjakin, Sergey", RUS,2012,2779, RUS
" Karjakin, Sergey", RUS,2014,2770, RUS
" Karjakin, Sergey",RUS,2016,2769,RUS
" Kramnik, Vladimir", RUS,2005,2744, RUS
" Kramnik, Vladimir", RUS,2006,2743, RUS
" Kramnik, Vladimir", RUS,2007,2769, RUS
" Kramnik, Vladimir", RUS,2008,2788, RUS
" Kramnik, Vladimir", RUS,2010,2788, RUS
" Kramnik, Vladimir", RUS,2011,2801, RUS
" Kramnik, Vladimir", RUS,2012,2801, RUS
" Kramnik, Vladimir", RUS,2014,2783, RUS
" Kramnik, Vladimir", RUS,2015,2783, RUS
" Kramnik, Vladimir", RUS,2016,2801, RUS
" Leko, Peter", HUN,2005,2763, HUN
" Leko, Peter", HUN,2006,2738, HUN
" Leko, Peter", HUN,2007,2751, HUN
" Leko, Peter", HUN,2008,2741, HUN
" Mamedyarov, Shakhriyar", AZE,2007,2757, AZE
" Morozevich, Alexander", RUS,2006,2731, RUS
" Morozevich, Alexander", RUS,2007,2758, RUS
" Morozevich, Alexander", RUS,2011,2765, RUS
" Morozevich, Alexander", RUS,2012,2769, RUS
" Morozevich, Alexander",RUS,2008,2788,RUS
" Nakamura, Hikaru", USA,2011,2771, USA
" Nakamura, Hikaru", USA,2012,2775, USA
" Nakamura, Hikaru", USA,2014,2772, USA
" Nakamura, Hikaru", USA,2015,2814, USA
" Nakamura, Hikaru", USA,2016,2787, USA
" Polgar, Judit", HUN,2005,2735, HUN
" Radjabov, Teimour", AZE,2007,2746, AZE
" Radjabov, Teimour", AZE,2008,2744, AZE
" Radjabov, Teimour", AZE,2011,2784, AZE
" Radjabov, Teimour", AZE,2012,2784, AZE
" So, Wesley", USA,2015,2780, USA
" So, Wesley", USA,2016,2773, USA
" Svidler, Peter", RUS,2005,2738, RUS
" Svidler, Peter", RUS,2006,2742, RUS
" Svidler, Peter", RUS,2010,2744, RUS
" Topalov, Veselin", BUL,2005,2788, BUL
" Topalov, Veselin", BUL,2007,2769, BUL
" Topalov, Veselin", BUL,2008,2777, BUL
" Topalov, Veselin", BUL,2010,2805, BUL
" Topalov, Veselin", BUL,2014,2772, BUL
" Topalov, Veselin", BUL,2015,2816, BUL
" Topalov, Veselin", BUL,2016,2780, BUL
" Topalov, Veselin",BUL,2006,2813,BUL
" Vachier-Lagrave, Maxime", FRA,2016,2785, FRA
" Wang, Yue", CHN,2010,2749, CHN
"Anand, Viswanathan", IND,2008,2798, IND
"Anand, Viswanathan",IND,2007,2792,IND
"Anand, Viswanathan",IND,2009,2788,IND
"Anand, Viswanathan",IND,2017,2786,IND
"Anand, Viswanathan",IND,2019,2969,IND
Andreikin Dmitry,RUS,2018,2777,RUS
Aronian Levon, ARM,2018,2858, ARM
Aronian Levon,ARM,2017,2780,ARM
"Aronian, Levon", ARM,2019,2765, ARM
"Aronian, Levon",ARM,2009,2768,ARM
Bosiocic Marin,CRO,2018,2653,CRO
"Carlsen, Magnus", NOR,2008,2775, NOR
"Carlsen, Magnus", NOR,2014,2882, NOR
"Carlsen, Magnus",NOR,2009,2772,NOR
"Carlsen, Magnus",NOR,2010,2810,NOR
"Carlsen, Magnus",NOR,2011,2835,NOR
"Carlsen, Magnus",NOR,2012,2835,NOR
"Carlsen, Magnus",NOR,2016,2844,NOR
"Carlsen, Magnus",NOR,2017,2840,NOR
"Carlsen, Magnus",NOR,2019,2845,NOR
"Caruana, Fabiano",USA,2017,2827,USA
"Caruana, Fabiano",USA,2019,2810,USA
"Ding, Liren",CHN,2019,2806,CHN
Duda Jan-Krzysztof,POL,2018,2694,POL
Firouzja Alireza,IRI,2018,2667,IRI
"Gelfand, Boris",ISR,2009,2755,ISR
"Giri, Anish",NED,2017,2773,NED
"Giri, Anish",NED,2019,2797,NED
Grigoriants Sergey,RUS,2018,2626,RUS
"Grischuk, Alexander",RUS,2019,2771,RUS
"Ivanchuk, Vassily", UKR,2008,2781, UKR
"Jakovenko, Dmitry",RUS,2009,2760,RUS
KarJakin  Sergey,RUS,2017,2785,RUS
"Kasparov, Garry",RUS,2005,2812,RUS
"Kramnik, Vladimir",RUS,2009,2759,RUS
"Kramnik, Vladimir",RUS,2017,2811,RUS
"Leko, Peter",HUN,2009,2756,HUN
"Mamedyarov, Shakhriyar", AZE,2008,2742, AZE
"Mamedyarov, Shakhriyar",AZE,2019,2796,AZE
"Morozevich, Alexander",RUS,2009,2751,RUS
Nakamura Hikaru,USA,2017,2785,USA
"Nepomniachtchi, Ian",RUS,2019,2775,RUS
Popov Ivan,RUS,2018,2560,RUS
"Radjabov, Teimour",AZE,2006,2728,AZE
"Radjabov, Teimour",AZE,2009,2756,AZE
Shakhriyar Mamedyarov,"",2017,2820,""
Shirov Alexei,ESP,2018,2699,ESP
"Shirov, Alexei", ESP,2008,2741, ESP
So Wesley,USA,2017,2808,USA
Svidler Peter,RUS,2018,2770,RUS
Teterev Vitaly,BLR,2018,2397,BLR
"Topalov, Veselin",BUL,2009,2813,BUL
"Vachier-Lagrave, Maxime",FRA,2017,2796,FRA
"Vachier-Lagrave, Maxime",FRA,2019,2771,FRA
Zhigalko Sergei,BLR,2018,2693,BLR
