year,name,value,lastValue,group,subgroup
1-May-2017,T-series,18554517,18554517,Indian Uncle's,Indian Uncle's
1-May-2017,Pewdiepie,54887885,54887885,9 year old army,9 year old army
2-May-2017,T-series,18586072,18554517,Indian Uncle's,Indian Uncle's
2-May-2017,Pewdiepie,54893956,54887885,9 year old army,9 year old army
3-May-2017,T-series,18621981,18586072,Indian Uncle's,Indian Uncle's
3-May-2017,Pewdiepie,54907371,54893956,9 year old army,9 year old army
4-May-2017,T-series,18656929,18621981,Indian Uncle's,Indian Uncle's
4-May-2017,Pewdiepie,54917152,54907371,9 year old army,9 year old army
5-May-2017,T-series,18690917,18656929,Indian Uncle's,Indian Uncle's
5-May-2017,Pewdiepie,54925362,54917152,9 year old army,9 year old army
6-May-2017,T-series,18725846,18690917,Indian Uncle's,Indian Uncle's
6-May-2017,Pewdiepie,54936176,54925362,9 year old army,9 year old army
7-May-2017,T-series,18762706,18725846,Indian Uncle's,Indian Uncle's
7-May-2017,Pewdiepie,54947660,54936176,9 year old army,9 year old army
8-May-2017,T-series,18792461,18762706,Indian Uncle's,Indian Uncle's
8-May-2017,Pewdiepie,54954434,54947660,9 year old army,9 year old army
9-May-2017,T-series,18826095,18792461,Indian Uncle's,Indian Uncle's
9-May-2017,Pewdiepie,54967503,54954434,9 year old army,9 year old army
10-May-2017,T-series,18862774,18826095,Indian Uncle's,Indian Uncle's
10-May-2017,Pewdiepie,54980642,54967503,9 year old army,9 year old army
11-May-2017,T-series,18892938,18862774,Indian Uncle's,Indian Uncle's
11-May-2017,Pewdiepie,54996083,54980642,9 year old army,9 year old army
12-May-2017,T-series,18925353,18892938,Indian Uncle's,Indian Uncle's
12-May-2017,Pewdiepie,55006813,54996083,9 year old army,9 year old army
13-May-2017,T-series,18959611,18925353,Indian Uncle's,Indian Uncle's
13-May-2017,Pewdiepie,55024523,55006813,9 year old army,9 year old army
14-May-2017,T-series,18993710,18959611,Indian Uncle's,Indian Uncle's
14-May-2017,Pewdiepie,55038633,55024523,9 year old army,9 year old army
15-May-2017,T-series,19031406,18993710,Indian Uncle's,Indian Uncle's
15-May-2017,Pewdiepie,55050667,55038633,9 year old army,9 year old army
16-May-2017,T-series,19065633,19031406,Indian Uncle's,Indian Uncle's
16-May-2017,Pewdiepie,55058274,55050667,9 year old army,9 year old army
17-May-2017,T-series,19099938,19065633,Indian Uncle's,Indian Uncle's
17-May-2017,Pewdiepie,55072014,55058274,9 year old army,9 year old army
18-May-2017,T-series,19130673,19099938,Indian Uncle's,Indian Uncle's
18-May-2017,Pewdiepie,55080858,55072014,9 year old army,9 year old army
19-May-2017,T-series,19164530,19130673,Indian Uncle's,Indian Uncle's
19-May-2017,Pewdiepie,55092934,55080858,9 year old army,9 year old army
20-May-2017,T-series,19201320,19164530,Indian Uncle's,Indian Uncle's
20-May-2017,Pewdiepie,55105009,55092934,9 year old army,9 year old army
21-May-2017,T-series,19235955,19201320,Indian Uncle's,Indian Uncle's
21-May-2017,Pewdiepie,55114948,55105009,9 year old army,9 year old army
22-May-2017,T-series,19279009,19235955,Indian Uncle's,Indian Uncle's
22-May-2017,Pewdiepie,55128045,55114948,9 year old army,9 year old army
23-May-2017,T-series,19314913,19279009,Indian Uncle's,Indian Uncle's
23-May-2017,Pewdiepie,55133419,55128045,9 year old army,9 year old army
24-May-2017,T-series,19354017,19314913,Indian Uncle's,Indian Uncle's
24-May-2017,Pewdiepie,55147160,55133419,9 year old army,9 year old army
25-May-2017,T-series,19390693,19354017,Indian Uncle's,Indian Uncle's
25-May-2017,Pewdiepie,55163301,55147160,9 year old army,9 year old army
26-May-2017,T-series,19419771,19390693,Indian Uncle's,Indian Uncle's
26-May-2017,Pewdiepie,55170089,55163301,9 year old army,9 year old army
27-May-2017,T-series,19451658,19419771,Indian Uncle's,Indian Uncle's
27-May-2017,Pewdiepie,55181824,55170089,9 year old army,9 year old army
28-May-2017,T-series,19480988,19451658,Indian Uncle's,Indian Uncle's
28-May-2017,Pewdiepie,55191949,55181824,9 year old army,9 year old army
29-May-2017,T-series,19508965,19480988,Indian Uncle's,Indian Uncle's
29-May-2017,Pewdiepie,55201874,55191949,9 year old army,9 year old army
30-May-2017,T-series,19541298,19508965,Indian Uncle's,Indian Uncle's
30-May-2017,Pewdiepie,55215493,55201874,9 year old army,9 year old army
31-May-2017,T-series,19573011,19541298,Indian Uncle's,Indian Uncle's
31-May-2017,Pewdiepie,55228677,55215493,9 year old army,9 year old army
1-Jun-2017,T-series,19607185,19573011,Indian Uncle's,Indian Uncle's
1-Jun-2017,Pewdiepie,55238791,55228677,9 year old army,9 year old army
2-Jun-2017,T-series,19641326,19607185,Indian Uncle's,Indian Uncle's
2-Jun-2017,Pewdiepie,55247320,55238791,9 year old army,9 year old army
3-Jun-2017,T-series,19676359,19641326,Indian Uncle's,Indian Uncle's
3-Jun-2017,Pewdiepie,55259573,55247320,9 year old army,9 year old army
4-Jun-2017,T-series,19709651,19676359,Indian Uncle's,Indian Uncle's
4-Jun-2017,Pewdiepie,55273106,55259573,9 year old army,9 year old army
5-Jun-2017,T-series,19741590,19709651,Indian Uncle's,Indian Uncle's
5-Jun-2017,Pewdiepie,55288018,55273106,9 year old army,9 year old army
6-Jun-2017,T-series,19772844,19741590,Indian Uncle's,Indian Uncle's
6-Jun-2017,Pewdiepie,55326213,55288018,9 year old army,9 year old army
7-Jun-2017,T-series,19804493,19772844,Indian Uncle's,Indian Uncle's
7-Jun-2017,Pewdiepie,55382349,55326213,9 year old army,9 year old army
8-Jun-2017,T-series,19838139,19804493,Indian Uncle's,Indian Uncle's
8-Jun-2017,Pewdiepie,55421007,55382349,9 year old army,9 year old army
9-Jun-2017,T-series,19875347,19838139,Indian Uncle's,Indian Uncle's
9-Jun-2017,Pewdiepie,55450419,55421007,9 year old army,9 year old army
10-Jun-2017,T-series,19912519,19875347,Indian Uncle's,Indian Uncle's
10-Jun-2017,Pewdiepie,55482576,55450419,9 year old army,9 year old army
11-Jun-2017,T-series,19949844,19912519,Indian Uncle's,Indian Uncle's
11-Jun-2017,Pewdiepie,55515009,55482576,9 year old army,9 year old army
12-Jun-2017,T-series,19978714,19949844,Indian Uncle's,Indian Uncle's
12-Jun-2017,Pewdiepie,55541483,55515009,9 year old army,9 year old army
13-Jun-2017,T-series,20022609,19978714,Indian Uncle's,Indian Uncle's
13-Jun-2017,Pewdiepie,55567544,55541483,9 year old army,9 year old army
14-Jun-2017,T-series,20060936,20022609,Indian Uncle's,Indian Uncle's
14-Jun-2017,Pewdiepie,55586722,55567544,9 year old army,9 year old army
15-Jun-2017,T-series,20100238,20060936,Indian Uncle's,Indian Uncle's
15-Jun-2017,Pewdiepie,55604609,55586722,9 year old army,9 year old army
16-Jun-2017,T-series,20140394,20100238,Indian Uncle's,Indian Uncle's
16-Jun-2017,Pewdiepie,55623574,55604609,9 year old army,9 year old army
17-Jun-2017,T-series,20179972,20140394,Indian Uncle's,Indian Uncle's
17-Jun-2017,Pewdiepie,55655141,55623574,9 year old army,9 year old army
18-Jun-2017,T-series,20213955,20179972,Indian Uncle's,Indian Uncle's
18-Jun-2017,Pewdiepie,55683920,55655141,9 year old army,9 year old army
19-Jun-2017,T-series,20251732,20213955,Indian Uncle's,Indian Uncle's
19-Jun-2017,Pewdiepie,55713806,55683920,9 year old army,9 year old army
20-Jun-2017,T-series,20291854,20251732,Indian Uncle's,Indian Uncle's
20-Jun-2017,Pewdiepie,55738897,55713806,9 year old army,9 year old army
21-Jun-2017,T-series,20332075,20291854,Indian Uncle's,Indian Uncle's
21-Jun-2017,Pewdiepie,55770414,55738897,9 year old army,9 year old army
22-Jun-2017,T-series,20374215,20332075,Indian Uncle's,Indian Uncle's
22-Jun-2017,Pewdiepie,55796187,55770414,9 year old army,9 year old army
23-Jun-2017,T-series,20414329,20374215,Indian Uncle's,Indian Uncle's
23-Jun-2017,Pewdiepie,55821262,55796187,9 year old army,9 year old army
24-Jun-2017,T-series,20454163,20414329,Indian Uncle's,Indian Uncle's
24-Jun-2017,Pewdiepie,55847367,55821262,9 year old army,9 year old army
25-Jun-2017,T-series,20496881,20454163,Indian Uncle's,Indian Uncle's
25-Jun-2017,Pewdiepie,55869672,55847367,9 year old army,9 year old army
